,Rank,Title,Genre,Description,Director,Actors,Year,Runtime (Minutes),Rating,Votes,Revenue (Millions),Metascore
725,855,Kung Fu Panda,Animation,"The Dragon Warrior has to clash against the savage Tai Lung as China's fate hangs in the balance: However, the Dragon Warrior mantle is supposedly mistaken to be bestowed upon an obese panda who is a tyro in martial arts.",Mark Osborne,"Jack Black, Ian McShane,Angelina Jolie, Dustin Hoffman",2008,92,76,329788,215.4,73
726,856,Barbershop: The Next Cut,Comedy,"As their surrounding community has taken a turn for the worse, the crew at Calvin's Barbershop come together to bring some much needed change to their neighborhood.",Malcolm D. Lee,"Ice Cube, Regina Hall, Anthony Anderson, Eve",2016,111,59,9993,54.01,67
727,857,Terminator Salvation,Action,"In 2018, a mysterious new weapon in the war against the machines, half-human and half-machine, comes to John Connor on the eve of a resistance attack on Skynet. But whose side is he on, and can he be trusted?",McG,"Christian Bale, Sam Worthington, Anton Yelchin, Moon Bloodgood",2009,115,66,297093,125.32,49
728,858,Freedom Writers,Biography,"A young teacher inspires her class of at-risk students to learn tolerance, apply themselves, and pursue education beyond high school.",Richard LaGravenese,"Hilary Swank, Imelda Staunton, Patrick Dempsey, Scott Glenn",2007,123,75,55648,36.58,64
729,859,The Hills Have Eyes,Horror,"A suburban American family is being stalked by a group of psychotic people who live in the desert, far away from civilization.",Alexandre Aja,"Ted Levine, Kathleen Quinlan, Dan Byrd, Emilie de Ravin",2006,107,64,136642,41.78,52
730,860,Changeling,Biography,"A grief-stricken mother takes on the LAPD to her own detriment when it stubbornly tries to pass off an obvious impostor as her missing child, while also refusing to give up hope that she will find him one day.",Clint Eastwood,"Angelina Jolie, Colm Feore, Amy Ryan, Gattlin Griffith",2008,141,78,206793,35.71,63
731,861,Remember Me,Drama,"A romantic drama centered on two new lovers: Tyler, whose parents have split in the wake of his brother's suicide, and Ally, who lives each day to the fullest since witnessing her mother's murder.",Allen Coulter,"Robert Pattinson, Emilie de Ravin, Caitlyn Rund,Moisés Acevedo",2010,113,72,119376,19.06,40
732,863,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Comedy,"Alexander's day begins with gum stuck in his hair, followed by more calamities. However, he finds little sympathy from his family and begins to wonder if bad things only happen to him, his mom, dad, brother and sister - who all find themselves living through their own terrible, horrible, no good, very bad day.",Miguel Arteta,"Steve Carell, Jennifer Garner, Ed Oxenbould, Dylan Minnette",2014,81,62,32310,66.95,54
733,864,Locke,Drama,"Ivan Locke, a dedicated family man and successful construction manager, receives a phone call on the eve of the biggest challenge of his career that sets in motion a series of events that threaten his carefully cultivated existence.",Steven Knight,"Tom Hardy, Olivia Colman, Ruth Wilson, Andrew Scott",2013,85,71,100890,1.36,81
734,866,Horns,Drama,"In the aftermath of his girlfriend's mysterious death, a young man awakens to find strange horns sprouting from his temples.",Alexandre Aja,"Daniel Radcliffe, Juno Temple, Max Minghella, Joe Anderson",2013,120,65,61060,0.16,46
735,867,Indignation,Drama,"In 1951, Marcus, a working-class Jewish student from New Jersey, attends a small Ohio college, where he struggles with sexual repression and cultural disaffection, amid the ongoing Korean War.",James Schamus,"Logan Lerman, Sarah Gadon, Tijuana Ricks, Sue Dahlman",2016,110,69,7402,3.4,78
736,868,The Stanford Prison Experiment,Biography,Twenty-four male students out of seventy-five were selected to take on randomly assigned roles of prisoners and guards in a mock prison situated in the basement of the Stanford psychology building.,Kyle Patrick Alvarez,"Ezra Miller, Tye Sheridan, Billy Crudup, Olivia Thirlby",2015,122,69,20907,0.64,67
737,869,Diary of a Wimpy Kid: Rodrick Rules,Comedy,"Back in middle school after summer vacation, Greg Heffley and his older brother Rodrick must deal with their parents' misguided attempts to have them bond.",David Bowers,"Zachary Gordon, Devon Bostick, Robert Capron,Rachael Harris",2011,99,66,20194,52.69,51
738,870,Mission: Impossible III,Action,Agent Ethan Hunt comes into conflict with a dangerous and sadistic arms dealer who threatens his life and his fianceé in response .,J.J. Abrams,"Tom Cruise, Michelle Monaghan, Ving Rhames, Philip Seymour Hoffman",2006,126,69,270429,133.38,66
739,871,En man som heter Ove,Comedy,"Ove, an ill-tempered, isolated retiree who spends his days enforcing block association rules and visiting his wife's grave, has finally given up on life just as an unlikely friendship develops with his boisterous new neighbors.",Hannes Holm,"Rolf Lassgård, Bahar Pars, Filip Berg, Ida Engvoll",2015,116,77,21569,3.36,70
740,872,Dragonball Evolution,Action,"The young warrior Son Goku sets out on a quest, racing against time and the vengeful King Piccolo, to collect a set of seven magical orbs that will grant their wielder unlimited power.",James Wong,"Justin Chatwin, James Marsters, Yun-Fat Chow, Emmy Rossum",2009,85,27,59512,9.35,45
741,873,Red Dawn,Action,A group of teenagers look to save their town from an invasion of North Korean soldiers.,Dan Bradley,"Chris Hemsworth, Isabel Lucas, Josh Hutcherson, Josh Peck",2012,93,54,64584,44.8,31
742,874,One Day,Drama,"After spending the night together on the night of their college graduation Dexter and Em are shown each year on the same date to see where they are in their lives. They are sometimes together, sometimes not, on that day.",Lone Scherfig,"Anne Hathaway, Jim Sturgess, Patricia Clarkson,Tom Mison",2011,107,70,113599,13.77,48
743,875,Life as We Know It,Comedy,Two single adults become caregivers to an orphaned girl when their mutual best friends die in an accident.,Greg Berlanti,"Katherine Heigl, Josh Duhamel, Josh Lucas, Alexis Clagett",2010,114,66,101301,53.36,39
744,876,28 Weeks Later,Drama,"Six months after the rage virus was inflicted on the population of Great Britain, the US Army helps to secure a small area of London for the survivors to repopulate and start again. But not everything goes to plan.",Juan Carlos Fresnadillo,"Jeremy Renner, Rose Byrne, Robert Carlyle, Harold Perrineau",2007,100,70,221858,28.64,78
745,877,Warm Bodies,Comedy,"After a highly unusual zombie saves a still-living girl from an attack, the two form a relationship that sets in motion events that might transform the entire lifeless world.",Jonathan Levine,"Nicholas Hoult, Teresa Palmer, John Malkovich,Analeigh Tipton",2013,98,69,193579,66.36,59
746,878,Blue Jasmine,Drama,"A New York socialite, deeply troubled and in denial, arrives in San Francisco to impose upon her sister. She looks a million, but isn't bringing money, peace, or love...",Woody Allen,"Cate Blanchett, Alec Baldwin, Peter Sarsgaard, Sally Hawkins",2013,98,73,160592,33.4,78
747,879,G.I. Joe: Retaliation,Action,The G.I. Joes are not only fighting their mortal enemy Cobra; they are forced to contend with threats from within the government that jeopardize their very existence.,Jon M. Chu,"Dwayne Johnson, Channing Tatum, Adrianne Palicki,Byung-hun Lee",2013,110,58,152145,122.51,41
748,880,Wrath of the Titans,Action,"Perseus braves the treacherous underworld to rescue his father, Zeus, captured by his son, Ares, and brother Hades who unleash the ancient Titans upon the world.",Jonathan Liebesman,"Sam Worthington, Liam Neeson, Rosamund Pike, Ralph Fiennes",2012,99,58,159230,83.64,37
749,881,Shin Gojira,Action,Japan is plunged into chaos upon the appearance of a giant monster.,Hideaki Anno,"Hiroki Hasegawa, Yutaka Takenouchi,Satomi Ishihara, Ren Ôsugi",2016,120,69,8365,1.91,68
750,882,Saving Mr. Banks,Biography,"Author P.L. Travers reflects on her childhood after reluctantly meeting with Walt Disney, who seeks to adapt her Mary Poppins books for the big screen.",John Lee Hancock,"Emma Thompson, Tom Hanks, Annie Rose Buckley, Colin Farrell",2013,125,75,125693,83.3,65
751,883,Transcendence,Drama,"A scientist's drive for artificial intelligence, takes on dangerous implications when his consciousness is uploaded into one such program.",Wally Pfister,"Johnny Depp, Rebecca Hall, Morgan Freeman, Cillian Murphy",2014,119,63,184564,23.01,42
752,884,Rio,Animation,"When Blu, a domesticated macaw from small-town Minnesota, meets the fiercely independent Jewel, he takes off on an adventure to Rio de Janeiro with the bird of his dreams.",Carlos Saldanha,"Jesse Eisenberg, Anne Hathaway, George Lopez,Karen Disher",2011,96,69,173919,143.62,63
753,885,Equals,Drama,"In an emotionless utopia, two people fall in love when they regain their feelings from a mysterious disease, causing tensions between them and their society.",Drake Doremus,"Nicholas Hoult, Kristen Stewart, Vernetta Lopez,Scott Lawrence",2015,101,61,16361,0.03,43
754,886,Babel,Drama,"Tragedy strikes a married couple on vacation in the Moroccan desert, touching off an interlocking story involving four different families.",Alejandro González Iñárritu,"Brad Pitt, Cate Blanchett, Gael García Bernal, Mohamed Akhzam",2006,143,75,253417,34.3,69
755,887,The Tree of Life,Drama,"The story of a family in Waco, Texas in 1956. The eldest son witnesses the loss of innocence and struggles with his parents' conflicting teachings.",Terrence Malick,"Brad Pitt, Sean Penn, Jessica Chastain, Hunter McCracken",2011,139,68,143517,13.3,85
756,888,The Lucky One,Drama,A Marine travels to Louisiana after serving three tours in Iraq and searches for the unknown woman he believes was his good luck charm during the war.,Scott Hicks,"Zac Efron, Taylor Schilling, Blythe Danner, Riley Thomas Stewart",2012,101,65,82874,60.44,39
757,889,Piranha 3D,Comedy,"After a sudden underwater tremor sets free scores of the prehistoric man-eating fish, an unlikely group of strangers must band together to stop themselves from becoming fish food for the area's new razor-toothed residents.",Alexandre Aja,"Elisabeth Shue, Jerry O'Connell, Richard Dreyfuss,Ving Rhames",2010,88,55,75262,25,53
758,890,50/50,Comedy,"Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis, and his subsequent struggle to beat the disease.",Jonathan Levine,"Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick, Bryce Dallas Howard",2011,100,77,281625,34.96,72
759,893,Real Steel,Action,"In the near future, robot boxing is a top sport. A struggling promoter feels he's found a champion in a discarded robot.",Shawn Levy,"Hugh Jackman, Evangeline Lilly, Dakota Goyo,Anthony Mackie",2011,127,71,264480,85.46,56
760,894,Sex and the City,Comedy,A New York writer on sex and love is finally getting married to her Mr. Big. But her three best girlfriends must console her after one of them inadvertently leads Mr. Big to jilt her.,Michael Patrick King,"Sarah Jessica Parker, Kim Cattrall, Cynthia Nixon, Kristin Davis",2008,145,55,102547,152.64,53
761,895,Rambo,Action,"In Thailand, John Rambo joins a group of missionaries to venture into war-torn Burma, and rescue a group of Christian aid workers who were kidnapped by the ruthless local infantry unit.",Sylvester Stallone,"Sylvester Stallone, Julie Benz, Matthew Marsden, Graham McTavish",2008,92,71,187077,42.72,46
762,898,The Fall,Adventure,"In a hospital on the outskirts of 1920s Los Angeles, an injured stuntman begins to tell a fellow patient, a little girl with a broken arm, a fantastic story of five mythical heroes. Thanks to his fractured state of mind and her vivid imagination, the line between fiction and reality blurs as the tale advances.",Tarsem Singh,"Lee Pace, Catinca Untaru, Justine Waddell, Kim Uylenbroek",2006,117,79,93036,2.28,64
763,899,The Ugly Truth,Comedy,A romantically challenged morning show producer is reluctantly embroiled in a series of outrageous tests by her chauvinistic correspondent to prove his theories on relationships and help ... See full summary »,Robert Luketic,"Katherine Heigl, Gerard Butler, Bree Turner, Eric Winter",2009,96,65,172558,88.92,28
764,900,Bride Wars,Comedy,Two best friends become rivals when they schedule their respective weddings on the same day.,Gary Winick,"Kate Hudson, Anne Hathaway, Candice Bergen, Bryan Greenberg",2009,89,55,83976,58.72,24
765,901,Sleeping with Other People,Comedy,"A good-natured womanizer and a serial cheater form a platonic relationship that helps reform them in ways, while a mutual attraction sets in.",Leslye Headland,"Jason Sudeikis, Alison Brie, Jordan Carlos,Margarita Levieva",2015,101,65,27730,0.81,64
766,902,Snakes on a Plane,Action,"An FBI agent takes on a plane full of deadly and venomous snakes, deliberately released to kill a witness being flown from Honolulu to Los Angeles to testify against a mob boss.",David R. Ellis,"Samuel L. Jackson, Julianna Margulies, Nathan Phillips, Rachel Blanchard",2006,105,56,118905,34.01,58
767,903,What If,Comedy,"Wallace, who is burned out from a string of failed relationships, forms an instant bond with Chantry, who lives with her longtime boyfriend. Together, they puzzle out what it means if your best friend is also the love of your life.",Michael Dowse,"Daniel Radcliffe, Zoe Kazan, Megan Park, Adam Driver",2013,98,68,55243,3.45,59
